ID,Job,Operation,Machine,StartTime,EndTime,IsCritical
1,1,1,0,20,49,0
2,1,2,1,131,209,1
3,1,3,2,209,218,0
4,1,4,3,218,254,0
5,1,5,4,254,303,0
6,1,6,5,303,314,0
7,1,7,6,314,376,0
8,1,8,7,407,463,0
9,1,9,8,463,507,0
10,1,10,9,507,528,0
11,2,1,0,49,92,0
12,2,2,2,218,308,0
13,2,3,4,308,383,0
14,2,4,9,383,394,0
15,2,5,3,425,494,0
16,2,6,1,494,522,0
17,2,7,6,603,649,0
18,2,8,5,649,695,0
19,2,9,7,706,778,1
20,2,10,8,778,808,0
21,3,1,1,522,613,0
22,3,2,0,656,741,0
23,3,3,3,741,780,0
24,3,4,2,780,854,0
25,3,5,8,860,950,0
26,3,6,5,950,960,0
27,3,7,7,977,989,0
28,3,8,6,989,1078,0
29,3,9,9,1097,1142,1
30,3,10,4,1142,1175,1
31,4,1,1,409,490,0
32,4,2,2,490,585,0
33,4,3,0,585,656,0
34,4,4,4,656,755,0
35,4,5,6,782,791,0
36,4,6,8,808,860,0
37,4,7,7,892,977,1
38,4,8,3,977,1075,1
39,4,9,9,1075,1097,1
40,4,10,5,1097,1140,0
41,5,1,2,0,14,1
42,5,2,0,14,20,0
43,5,3,1,20,42,0
44,5,4,5,42,103,0
45,5,5,3,103,129,0
46,5,6,4,129,198,0
47,5,7,8,198,219,0
48,5,8,7,219,268,0
49,5,9,9,288,360,0
50,5,10,6,376,429,0
51,6,1,2,45,129,1
52,6,2,1,129,131,1
53,6,3,5,131,183,0
54,6,4,3,254,349,0
55,6,5,8,377,425,0
56,6,6,9,425,497,0
57,6,7,0,497,544,0
58,6,8,6,656,721,0
59,6,9,4,755,761,0
60,6,10,7,778,803,1
61,7,1,1,42,88,0
62,7,2,0,92,129,0
63,7,3,3,129,190,0
64,7,4,2,190,203,0
65,7,5,6,203,235,0
66,7,6,5,235,256,0
67,7,7,9,256,288,0
68,7,8,8,288,377,0
69,7,9,7,377,407,0
70,7,10,4,515,570,0
71,8,1,2,14,45,1
72,8,2,0,205,291,0
73,8,3,1,363,409,1
74,8,4,5,409,483,1
75,8,5,4,483,515,1
76,8,6,6,515,603,1
77,8,7,8,603,622,1
78,8,8,9,622,670,1
79,8,9,7,670,706,1
80,8,10,3,780,859,0
81,9,1,0,129,205,0
82,9,2,1,209,278,1
83,9,3,3,349,425,0
84,9,4,5,483,534,0
85,9,5,2,646,731,0
86,9,6,9,731,742,0
87,9,7,6,742,782,0
88,9,8,7,803,892,1
89,9,9,4,892,918,0
90,9,10,8,950,1024,0
91,10,1,1,278,363,1
92,10,2,0,363,376,0
93,10,3,2,585,646,0
94,10,4,6,649,656,0
95,10,5,8,656,720,0
96,10,6,9,742,818,0
97,10,7,5,818,865,0
98,10,8,3,865,917,0
99,10,9,4,918,1008,0
100,10,10,7,1008,1053,0
